,PRODUCT_TYPE,ORDER_ID,SITE,MATERIAL_NAME,MATERIAL_NUMBER,MATERIAL_QUALITY_NORM,DEFECT_NOTES,NOMINAL_THICKNESS_MM_SCALED,WIDTH_MM_SCALED,MASS_MIN_KG_SCALED,INCO_TERM,MIN/MAX_BID_EUR_PER_TON,VALID_UNTIL
31,SHEET,436630,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,12.029,1503,2131,FCA,610.0,20/02/2025 11:00
32,SHEET,436631,1 company gmbh,S35SJR,1.0045,DN EN 10025,DEKL-S355JR  / D2A KRA,12.029,1503,1701,FCA,610.0,2025-02-20 11:00
33,SHEET,436632,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,12.029,1503,2141,FCA,610.0,2025-02-20 11:00
34,SHEET,436633,1 company gmbh,S355JR,1.0045,DN EN 10025,DEKL-S35SJR  / D2A KRA,12.029,1503,2131,,610.0,2025-02-20 11:00
35,SHEET,436634,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A ASG,12.029,1503,2131,,610.0,2025-02-20 11:00
36,COIL_STRIP,436555,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 150 MB OL  ,1.701,812,15318,FCA,620.0,2025-02-25 16:00
37,,436557,1 company gmbh,,1.0943,DIN EN 10338,,1.701,812,14853,FCA,620.0,2025-02-25 16:00
38,COIL_STRIP,436563,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 145 MB OL  ,1.703,813,14703,FKA,620.0,25/02/2025 16:00
39,COIL_STRIP,436562,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 145 MB OL  ,1.702,812,14593,FCA,620.0,25/02/2025 16:00
40,COIL_STRIP,436561,1 company gmbh,HCT780X,1.0943,DIN EN 10338,HCT780X+ Z 145 MB OL  ,1.702,812,14633,FCA,620.0,25/02/2025 16:00
41,COIL_STRIP,436560,1 company gmbh,HCT780X,1.0943,DIN EN 10338,,1.702,813,14373,FCA,620.0,2025-02-25 16:00
